Artist,Times Played,Artist - Song,Times Played
GRENTPEREZ,4,JAMES HERSEY - GHOST ME,2
OH WONDER,4,DOLORES FOREVER - WHY ARE YOU NOT SCARED YET?,2
MOGLII,4,TOM ODELL - CAN'T PRETEND,2
YELLOWSTRAPS,4,TOM ODELL - DON'T LET ME GO,2
01099,4,TOM ODELL - I KNOW,2
SAMPHA,4,THE BLACK KEYS - GOLD ON THE CEILING,2
SIMPLE PLAN,4,THE BLACK KEYS - TIGHTEN UP,2
RHYE,4,WIZTHEMC - OVER THE MOON,2
JUPITER FLYNN,4,WIZTHEMC - ABOUT YOU,2
WILL JOSEPH COOK,4,JORJA SMITH - GO GO GO,2
FUFFIFUFZICH & ALLI NEUMANN,4,VAMPIRE WEEKEND - HORCHATA,2
PLACEBO,4,THE LAST DINNER PARTY - CAESAR ON A TV SCREEN,2
BEN HOWARD,4,GENESIS OWUSU - TIED UP!,2
THE STROKES,4,GENESIS OWUSU - WHAT COMES WILL COME,2
THE SCRIPT,4,ZARTMANN - NIEMAND,2
ED SHEERAN,4,FRANK OCEAN - LOST,2
LITTLE DRAGON,4,RONJA - BLUMENGARTEN,2
SZA,3,PAOLO NUTINI - NEW SHOES,2
AU/RA,3,PAOLO NUTINI - JENNY DON'T BE HASTY,2
JAMES HERSEY,3,PAOLO NUTINI - LAST REQUEST,2
GIRL ULTRA FEAT. CHROMEO & EMPRESS OF,3,GOOD NEIGHBOURS - HOME,2
FRANK OCEAN,3,SLØTFACE FEAT. THE BUOYS - FIGHT BACK TIME,2
MIIKE SNOW,3,INTERPOL - EVIL,2
BEACH HOUSE,3,INTERPOL - THE HEINRICH MANEUVER,2
BIG O & BEATAMIN C,3,THE BEACHES - JOCELYN,2
MALLRAT,3,FOALS - WHAT WENT DOWN,2
BLVTH,3,MIIKE SNOW - PADDLING OUT,2
EKKSTACY,3,JUSTICE X TAME IMPALA - ONE NIGHT / ALL NIGHT,2
ANGUS & JULIA STONE,3,JAY-Z FEAT. ALICIA KEYS - EMPIRE STATE OF MIND,2
FATONI,3,TWO DOOR CINEMA CLUB - I CAN TALK,2
BASTILLE,3,TWO DOOR CINEMA CLUB - SURE ENOUGH,2
GOLF,3,CHRISTIN NICHOLS - UNSTERBLICH,2
LOW ISLAND,3,DAYGLOW - MINDLESS CREATURES,2
JAMIE XX,3,SNOW PATROL - SHUT YOUR EYES,2
FRIENDLY FIRES,3,CHVRCHES - RECOVER,2
IBEYI,3,CHVRCHES - WE SINK,2
PETIT BISCUIT,3,THE MARÍAS - BACK TO ME,2
LAUREN MAYBERRY,3,KLAXONS - GOLDEN SKANS,2
KAISER CHIEFS,3,THE WOMBATS - TOKYO,2
TELE,3,THE WOMBATS - LET'S DANCE TO JOY DIVISION,2
MOGLI,3,DAFT PUNK - ONE MORE TIME,2
THE DRUMS,3,DAFT PUNK - INSTANT CRUSH,2
MØ FEAT. BIIG PIIG,3,DAFT PUNK - HARDER BETTER FASTER STRONGER,2
MULAY,3,SPARKLING - HEY HEY HEY,2
CAROLINE POLACHEK,3,AIR - CHERRY BLOSSOM GIRL,2
MICHAEL KIWANUKA,3,DJO - END OF BEGINNING,2
VARLEY,3,BEACH HOUSE - MASTER OF NONE,2
MANU CHAO,3,ANAÏS - BERLIN CITY GIRL,2
