Artist,Times Played,Artist - Song,Times Played
GIGI D'AGOSTINO,5,MADONNA - HUNG UP,4
KYGO X IMAGINE DRAGONS,5,WINCENT WEISS - WER WENN NICHT WIR,4
ROBIN SCHULZ FEAT. KIDDO,5,TOM GREGORY - RATHER BE YOU,4
CRAZY TOWN,5,TIËSTO - THE BUSINESS,4
INXS,5,MICHAEL PATRICK KELLY - THROWBACK,4
TOM GRENNAN,5,HARRY STYLES - LATE NIGHT TALKING,4
PLAN B,5,TRAVIS - SING,4
FLO RIDA,5,AVA MAX - MILLION DOLLAR BABY,4
MAÎTRE GIMS,5,AVA MAX - EVERYTIME I CRY,4
USHER,5,MIKE POSNER - I TOOK A PILL IN IBIZA,4
BACKSTREET BOYS,5,MARK FORSTER - CHÖRE,4
SPICE GIRLS,5,STROMAE - FORMIDABLE,4
JAMELIA,5,STROMAE - ALORS ON DANSE,4
MORGAN WALLEN & POST MALONE,5,THE KILLERS - MR. BRIGHTSIDE,4
METRO BOOMIN & THE WEEKND & 21 SAVAGE,5,BASTILLE - POMPEII,4
HALSEY,5,BRUNO MARS - LOCKED OUT OF HEAVEN,4
LENKA,5,MILKY CHANCE - COLORADO,4
DAVID GUETTA & SIA,5,MAXIMO PARK - BOOKS FROM BOXES,4
SHEPPARD,5,K-MARO - FEMME LIKE YOU,4
MARIT LARSEN,5,HERBERT GRÖNEMEYER - MENSCH,4
THE DISCO BOYS FEAT. MANFRED MANN'S EARTH BAND,5,R.E.M. - LOSING MY RELIGION,4
INCUBUS,5,NICKELBACK - LULLABY,4
JOEL CORRY FEAT. MNEK,5,JENNIFER LOPEZ - LOVE DON'T COST A THING,4
MIAMI SOUND MACHINE,5,BLACK EYED PEAS - WHERE IS THE LOVE,4
SIMPLY RED,5,PHILIPP DITTBERNER & MARV - WOLKE 4,4
BLEU SOLEIL & LUIZA,5,ADELE - CHASING PAVEMENTS,4
BROOKE FRASER,5,TEDDY SWIMS - LOSE CONTROL,4
"RUDIMENTAL FEAT. JESS GLYNNE, MACKLEMORE & DAN CAPLEN",5,SWEDISH HOUSE MAFIA & THE WEEKND - MOTH TO A FLAME,4
SWEDISH HOUSE MAFIA,5,MANU CHAO - BONGO BONG,4
MADCON,5,KT TUNSTALL - BLACK HORSE & THE CHERRY TREE,4
JOEL CORRY FEAT. CHARLI XCX & SAWEETIE,5,CHRISTINA AGUILERA - COME ON OVER BABY (ALL I WANT IS YOU),4
FUN. FEAT. JANELLE MONÁE,5,LUIS FONSI FEAT. DADDY YANKEE - DESPACITO,4
JAIN,5,SARA BAREILLES - LOVE SONG,4
DUA LIPA FEAT. PIERRE DE MAERE,5,NAMIKA - JE NE PARLE PAS FRANÇAIS,4
ECHT,5,TIM BENDZKO - HOCH,4
MAROON 5,5,TIM BENDZKO - NUR NOCH KURZ DIE WELT RETTEN,4
BLONDIE,5,THE WEEKND - CRY FOR ME,4
BRITNEY SPEARS,5,GIGI D'AGOSTINO - L'AMOUR TOUJOURS,4
DNCE,5,JULI - GEILE ZEIT,4
TINA TURNER,5,MÅNESKIN - BEGGIN',4
THE BOSSHOSS FEAT. THE TIJUANA WONDERBRASS,5,MÅNESKIN - SUPERMODEL,4
BLINK 182,5,THE LUMINEERS - HO HEY,4
OF MONSTERS AND MEN,5,SANTANA FEAT. THE PRODUCT G&B - MARIA MARIA,4
BANGLES,5,MOLOKO - TIME IS NOW,4
TIZIANO FERRO,5,TITIYO - COME ALONG,4
KATZENJAMMER,5,ROONEY - WHEN DID YOUR HEART GO MISSING?,4
MATT SIMONS,5,SPORTFREUNDE STILLER - EIN KOMPLIMENT,4
ERIC PRYDZ,5,TOPLOADER - DANCING IN THE MOONLIGHT,4
LUKAS GRAHAM,5,MUMFORD & SONS - LITTLE LION MAN,4
