Artist,Times Played,Artist - Song,Times Played
BILLY JOEL,3,SOUL ASYLUM - RUNAWAY TRAIN,3
TOTO,3,DAFT PUNK - GET LUCKY,3
SAM SMITH,3,NO ANGELS - DAYLIGHT IN YOUR EYES,3
MILOW,3,LAS KETCHUP - ASEREJÉ,3
SHAGGY,3,SHANIA TWAIN - THAT DON'T IMPRESS ME MUCH,3
SIMPLY RED,3,CARO EMERALD - A NIGHT LIKE THIS,3
THIRTY SECONDS TO MARS,3,ATOMIC KITTEN - WHOLE AGAIN,3
RIHANNA,3,MEDUZA X JAMES CARTER FEAT. ELLEY DUHE & FAST BOY - BAD MEMORIES,3
GOSSIP,3,CRO - EASY,3
ALPHAVILLE,3,ELLIE GOULDING - LIGHTS,3
DAMIANO DAVID,3,PLAIN WHITE T'S - HEY THERE DELILAH,3
PAUL KALKBRENNER,3,ADEL TAWIL - LIEDER,3
NICO & VINZ,3,RAY DALTON - ALL WE GOT,3
CYRIL X JAMES BLUNT,3,ELTON JOHN - I'M STILL STANDING,3
LA BOUCHE,3,MARC ATLAS - MIDNIGHT SUN,3
BILL MEDLEY & JENNIFER WARNES,3,KATRINA & THE WAVES - WALKING ON SUNSHINE,3
STROMAE FEAT. POMME,3,TAKE THAT - THE FLOOD,3
MELANIE C,3,GEORGE EZRA - BLAME IT ON ME,3
TEARS FOR FEARS,3,BILLY JOEL - WE DIDN'T START THE FIRE,3
SCATMAN JOHN,3,THIRTY SECONDS TO MARS - SEASONS,3
SMASH MOUTH,3,METALLICA - NOTHING ELSE MATTERS,3
RUFUS AND CHAKA KHAN,3,AMY WINEHOUSE - REHAB,3
RAYE FEAT. 070 SHAKE,3,AMY WINEHOUSE - BACK TO BLACK,3
EMPIRE OF THE SUN,3,ALPHAVILLE - BIG IN JAPAN,3
WINCENT WEISS,3,DAMIANO DAVID - BORN WITH A BROKEN HEART,3
MARSHMELLO & JONAS BROTHERS,3,PAUL KALKBRENNER - SKY AND SAND,3
EMILIANA TORRINI,3,NICO & VINZ - AM I WRONG,3
TWENTY ONE PILOTS,3,KINGS OF LEON - USE SOMEBODY,3
