Artist,Times Played,Artist - Song,Times Played
TAIO CRUZ FEAT. KYLIE MINOGUE,4,DR. ALBAN - SING HALLELUJAH,4
LINKIN PARK FEAT. KIIARA,4,CALVIN HARRIS FEAT. ELLIE GOUL - OUTSIDE,4
FELIX JAEHN & VIZE FEAT. MISS ,4,U 2 - I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,4
CASSANDRA STEEN FEAT. ADEL TAW,4,VERVE - BITTER SWEET SYMPHONY,4
JAYMES YOUNG,4,TAIO CRUZ FEAT. KYLIE MINOGUE - HIGHER,4
TOTO,4,LINKIN PARK FEAT. KIIARA - HEAVY,4
GIGI D'AGOSTINO,4,MARK FORSTER - CHÖRE,4
OF MONSTERS AND MEN,4,FELIX JAEHN & VIZE FEAT. MISS  - CLOSE YOUR EYES,4
FLEETWOOD MAC,4,SAVAGE GARDEN - TRULY MADLY DEEPLY,4
JOSEF SALVAT,4,TINA TURNER - WE DON'T NEED ANOTHER HERO,4
ALANNAH MYLES,4,CASSANDRA STEEN FEAT. ADEL TAW - STADT,4
"VIZE, REA GARVEY",4,JAYMES YOUNG - INFINITY,4
DIE FANTASTISCHEN VIER,4,TOTO - AFRICA,4
DAVID GUETTA & BEBE REXHA,4,GIGI D'AGOSTINO - LA PASSION,4
OPUS,4,OF MONSTERS AND MEN - LITTLE TALKS,4
CALVIN HARRIS,4,PINK FLOYD - ANOTHER BRICK IN THE WALL,4
MARIO,4,FLEETWOOD MAC - LITTLE LIES,4
OLLY MURS,4,JOSEF SALVAT - DIAMONDS,4
MEREDITH BROOKS,4,ALANNAH MYLES - BLACK VELVET,4
MIKE POSNER,4,"VIZE, REA GARVEY - THE ONE",4
NEA,4,DAVID GUETTA & BEBE REXHA - I'M GOOD (BLUE),4
SOFT CELL,4,OPUS - LIVE IS LIFE,4
ENRIQUE IGLESIAS FEAT. DESCEME,4,MARIO - LET ME LOVE YOU,4
TRACY CHAPMAN,4,MEREDITH BROOKS - BITCH,4
DES'REE,4,MIKE POSNER - I TOOK A PILL IN IBIZA (SEEB REMIX),4
OFENBACH & QUARTERHEAD FEAT. N,4,NEA - SOME SAY,4
ROBIN BECK,4,SOFT CELL - TAINTED LOVE,4
EMILIA,4,TAIO CRUZ - DYNAMITE,4
FRIDA GOLD,4,ENRIQUE IGLESIAS FEAT. DESCEME - SUBEME LA RADIO,4
DESTINY'S CHILD,4,ONE REPUBLIC - COUNTING STARS,4
SIXPENCE NONE THE RICHER,4,ONE REPUBLIC - SECRETS,4
IMANY,4,DES'REE - LIFE,4
VANESSA CARLTON,4,BILLY JOEL - UPTOWN GIRL,4
DADDY YANKEE FEAT. SNOW,4,OFENBACH & QUARTERHEAD FEAT. N - HEAD SHOULDERS KNEES & TOES,4
JUSTIN WELLINGTON FEAT. SMALL ,4,ROBIN BECK - FIRST TIME,4
SANTANA,4,ANDREAS BOURANI - HEY,4
MR. MISTER,4,EMILIA - BIG BIG WORLD,4
JONAS BLUE FEAT. DAKOTA,4,FRIDA GOLD - DIESES GEFÜHL,4
"ALESSO, KATY PERRY",4,SIXPENCE NONE THE RICHER - KISS ME,4
NICK KAMEN,4,IMANY - DON'T BE SO SHY (FILATOV & KARAS REMIX),4
NO ANGELS,4,VANESSA CARLTON - A THOUSAND MILES,4
GEORGE HARRISON,4,DADDY YANKEE FEAT. SNOW - CON CALMA,4
