Artist,Times Played,Artist - Song,Times Played
B.O.B. FEAT. BRUNO MARS,10,BENNY BLANCO & HALSEY FEAT. KHALID - EASTSIDE,10
BADGER & NATASHA BEDINGFIELD,10,ANNA NAKLAB FEAT. ALLE FARBEN & YOUNOTUS - SUPERGIRL,10
CALVIN HARRIS,10,JASON DERULO - WANT TO WANT ME,10
MR. PROBZ,10,MONTEZ - AUF & AB,10
SIDO,10,ZARA LARSSON - CAN'T TAME HER,10
STARDUST,10,NATASHA BEDINGFIELD - UNWRITTEN,10
REEZY,9,THE CHAINSMOKERS FEAT. HALSEY - CLOSER,10
BELLINI,9,ARIANA GRANDE - NO TEARS LEFT TO CRY,10
AVICII FEAT. ALOE BLACC,9,KATY PERRY FEAT. SNOOP DOGG - CALIFORNIA GURLS,10
MAU P,9,JOEL CORRY FEAT MNEK - HEAD & HEART,10
THE UNDERDOG PROJECT,9,POST MALONE - CIRCLES,10
NELLY,9,JAMES HYPE FEAT.KELLI-LEIGH - MORE THAN FRIENDS,10
SNOOP DOGG FEAT. PHARRELL WILLIAMS,9,BUNT. FEAT. TOM ODELL - BEST DAY OF MY LIFE (BUNT. VERSION),10
GOOD NEIGHBOURS,9,JAX JONES & ZOE WEES - NEVER BE LONELY,10
JAZEEK,9,SWEDISH HOUSE MAFIA - SAVE THE WORLD,10
LIAM PAYNE & RITA ORA,9,NICKY MINAJ - STARSHIPS,10
DAVID KUSHNER,9,MACKLEMORE & RYAN LEWIS - THRIFT SHOP,10
MABEL,9,B.O.B. FEAT. BRUNO MARS - NOTHIN' ON YOU,10
ÁSDÍS,9,BADGER & NATASHA BEDINGFIELD - THESE WORDS,10
TAME IMPALA,9,CALVIN HARRIS - SUMMER,10
PITBULL FEAT. KESHA,9,MR. PROBZ - WAVES (ROBIN SCHULZ REMIX),10
JELLY ROLL MARSHMELLO,9,PITBULL - HOTEL ROOM SERVICE,10
ALAN WALKER,9,STARDUST - MUSIC SOUNDS BETTER WITH YOU,10
JAMES HYPE & MIGGY DELA ROSA,9,TAYLOR SWIFT - IS IT OVER NOW? (TAYLOR'S VERSION) (FROM THE VAULT),9
CALVIN HARRIS FEAT. RIHANNA,9,REEZY - SABÍA QUE NO,9
PANIC! AT THE DISCO,9,LEONY - FADED LOVE,9
ATB,9,ED SHEERAN - A LITTLE MORE,9
MARK RONSON FEAT. BRUNO MARS,9,INNA - HOT,9
ZEDD & ELLEY DUHÉ,9,CALVIN HARRIS FEAT. ELLIE GOULDING - I NEED YOUR LOVE,9
THE KID LAROI,9,ONE DIRECTION - DRAG ME DOWN,9
SOUTHSTAR,8,ONE DIRECTION - WHAT MAKES YOU BEAUTIFUL,9
ROYEL OTIS,8,"DISCLOSURE - SHE’S GONE, DANCE ON",9
"FISHER, CHRIS LAKE, KIMBRA, SANTE SANSONE GOTYE",8,BELLINI - SAMBA DE JANEIRO,9
PASHANIM FEAT. CEREN,8,JAN-CHRISTIAN ZELLER - 1LIVE MOVING MIX,9
JADEN BOJSEN,8,AVICII FEAT. ALOE BLACC - WAKE ME UP,9
FISHER X BBYCLOSE,8,ERIC PRYDZ - PJANOO,9
KUNGS,8,THE UNDERDOG PROJECT - SUMMER JAM,9
MARTERIA FEAT. YASHA & MISS PLATNUM,8,DERMOT KENNEDY - POWER OVER ME,9
YVES LAROCK FEAT. JABA,8,JUSTIN TIMBERLAKE - SUMMER LOVE,9
TRAVIE MCCOY FEAT. BRUNO MARS,8,JUSTIN TIMBERLAKE - MIRRORS,9
LAURELL,8,THE WEEKND - BLINDING LIGHTS,9
ACRAZE FEAT. CHERISH,8,SNOOP DOGG FEAT. PHARRELL WILLIAMS - BEAUTIFUL,9
OFENBACH FEAT. LAGIQUE,8,HARRY STYLES - WATERMELON SUGAR,9
BUNT. MYLES LLOYD,8,OLIVIA RODRIGO - GOOD 4 U,9
THE LAST DINNER PARTY,8,LIAM PAYNE & RITA ORA - FOR YOU,9
CASPER,8,TURNSTILE - SEEIN' STARS,9
THE NAKED & FAMOUS,8,TURNSTILE - NEVER ENOUGH,9
CAMELPHAT & ELDERBROOK,8,DAVID KUSHNER - DAYLIGHT,9
