Artist,Times Played,Artist - Song,Times Played
INGROSSO,7,OPUS - LIVE IS LIFE,7
KISS,7,LOREEN - EUPHORIA,7
GALA,7,TOTO - AFRICA,7
DENNIS LLOYD,7,AXWELL - MORE THAN YOU KNOW,7
KHALED,7,INGROSSO - MORE THAN YOU KNOW,7
SONIQUE,7,KISS - I WAS MADE FOR LOVIN' YOU,7
JOSEF SALVAT,7,CYNDI LAUPER - GIRLS JUST WANT TO HAVE FUN,7
CAPITAL CITIES,7,GALA - FREED FROM DESIRE,7
ROBIN BECK,7,VIZE - THE ONE,7
MADNESS,7,VIZE - NEVER LET ME DOWN,7
BLONDIE,7,DENNIS LLOYD - YOUNG RIGHT NOW,7
TWENTY ONE PILOTS,7,KHALED - AICHA,7
JAMES BAY,7,SONIQUE - SKY,7
MICHAEL SEMBELLO,7,JOSEF SALVAT - DIAMONDS,7
SOPHIE ELLIS-BEXTOR,7,CAPITAL CITIES - SAFE AND SOUND,7
LOTTE,6,NEA - SOME SAY,7
PETER SCHILLING,6,ROBIN BECK - FIRST TIME,7
WEATHER GIRLS,6,MADNESS - OUR HOUSE,7
RONAN KEATING,6,TWENTY ONE PILOTS - STRESSED OUT,7
LILLY WOOD,6,JAMES BAY - LET IT GO,7
THE PRICK,6,MICHAEL SEMBELLO - MANIAC,7
BONNIE TYLER,6,MACKLEMORE - CAN'T HOLD US,7
AURA DIONE,6,SOPHIE ELLIS-BEXTOR - MURDER ON THE DANCEFLOOR,7
UNDERDOG PROJECT,6,DAVID GUETTA - BABY DON'T HURT ME,6
EYE,6,"LOTTE - AUF DAS, WAS DA NOCH KOMMT",6
THE CONNELLS,6,"MAX GIESINGER - AUF DAS, WAS DA NOCH KOMMT",6
KWABS,6,CALVIN HARRIS - OUTSIDE,6
THE BUGGLES,6,ENRIQUE IGLESIAS - SUBEME LA RADIO,6
VANCE JOY,6,PETER SCHILLING - MAJOR TOM,6
BELL,6,ALVARO SOLER - LA LIBERTAD,6
BOOK,6,LOST FREQUENCIES - LOVE TO GO,6
CANDLE,6,SUNRISE AVENUE - FAIRYTALE GONE BAD,6
RITON,6,CLOCKCLOCK - OVER,6
NIGHTCRAWLERS,6,OASIS - DON'T LOOK BACK IN ANGER,6
TRAIN,6,DARIO G - SUNCHYME,6
CRAZY TOWN,6,R.E.M - LOSING MY RELIGION,6
EDWARD MAYA,6,WEATHER GIRLS - IT'S RAINING MEN,6
VIKA JIGULINA,6,KENNY LOGGINS - DANGER ZONE,6
SASH!,6,NATASHA BEDINGFIELD - UNWRITTEN,6
CLIMIE FISHER,6,TOPIC - BREAKING ME,6
MEAT LOAF,6,TOPIC - YOUR LOVE (9PM),6
IRENE CARA,6,ALLE FARBEN - BAD IDEAS,6
EN VOGUE,6,WILL SMITH - MEN IN BLACK,6
TEN SHARP,6,ADELE - HELLO,6
ZONDERLING,6,COLDPLAY - HIGHER POWER,6
DISTURBED,6,RICKY MARTIN - LIVIN' LA VIDA LOCA,6
NE-YO,6,LILLY WOOD - PRAYER IN C,6
MATT SIMONS,6,THE PRICK - PRAYER IN C,6
PAUL KALKBRENNER,6,BASTILLE - THINGS WE LOST IN THE FIRE,6
BLUE,6,PURPLE DISCO MACHINE - DOPAMINE,6
JOAN JETT AND THE BLACKHEARTS,6,NIK KERSHAW - I WON'T LET THE SUN GO DOWN ON ME,6
CHAKA KHAN,6,NIK KERSHAW - THE RIDDLE,6
2 PAC,6,PHIL COLLINS - YOU'LL BE IN MY HEART,6
MILK,6,PHIL COLLINS - CAN'T STOP LOVING YOU,6
SUGAR,6,KATY PERRY - ROAR,6
KIDDO,6,UNDERDOG PROJECT - SUMMER JAM,6
MR. MISTER,6,ELLIE GOULDING - LOVE ME LIKE YOU DO,6
YOUNG THU,6,EYE - DOPAMINE,6
VERVE,6,JASON DERULO - ACAPULCO,6
DES'REE,6,QUEEN - HEAVEN FOR EVERYONE,6
EMILIA,6,QUEEN - RADIO GA GA,6
SOPHIE,6,STARSHIP - WE BUILT THIS CITY,6
DIDO,6,STARSHIP - NOTHING'S GONNA STOP US NOW,6
NICK KAMEN,6,THE CONNELLS - '74-'75,6
MELISSA ETHERIDGE,6,KWABS - WALK,6
CULTURE BEAT,6,MADONNA - AMERICAN PIE,6
LIQUIDO,6,MADONNA - MATERIAL GIRL,6
BRANDY,6,DIE TOTEN HOSEN - BONNIE & CLYDE,6
MONICA,6,THE BUGGLES - VIDEO KILLED THE RADIO STAR,6
GWEN STEFANI,6,KYGO - WHAT'S LOVE GOT TO DO WITH IT,6
METALLICA,6,PET SHOP BOYS - ALWAYS ON MY MIND,6
