Artist,Times Played,Artist - Song,Times Played
PEGGY GOU,20,"OLIVIA O'BRIEN - I HATE U, I LOVE U",22
NELLY FURTADO,20,BENSON BOONE - BEAUTIFUL THINGS,21
MR. PROBZ,20,SHAWN MENDES - STITCHES,21
NICKY YOURE,20,CLEAN BANDIT - RATHER BE,21
DAZY,20,DUA LIPA - BE THE ONE,21
INNA,19,ELLIE GOULDING - LIGHTS,21
TOMMY RICHMAN,19,CHARLIE PUTH - ATTENTION,21
PANIC! AT THE DISCO,19,JAMES HYPE - FERRARI,21
AYMEN,19,JESS GLYNNE - RATHER BE,21
AMO,19,CAPITAL CITIES - SAFE AND SOUND,21
ALEXIS JORDAN,19,ARIANA GRANDE - WE CAN'T BE FRIENDS (WAIT FOR YOUR LOVE),21
MARTIN GARRIX,19,LANA DEL REY - SUMMERTIME SADNESS,21
MARTIN SOLVEIG,19,MIGGY DELA ROSA - FERRARI,21
CONFIDENCE MAN,19,MACKLEMORE - THRIFT SHOP,21
JADE,19,RYAN LEWIS - THRIFT SHOP,21
LIAM PAYNE,19,TAYLOR SWIFT - SHAKE IT OFF (TAYLOR'S VERSION),20
JAMIE XX,19,JUSTIN BIEBER - LET ME LOVE YOU,20
JVKE,19,HONEY - ICE 2 WATER,20
JUICY J,19,ONE DIRECTION - WHAT MAKES YOU BEAUTIFUL,20
FRANCESCO YATES,19,THE WEEKND - BLINDING LIGHTS,20
AFROJACK NE-YO,19,MAJOR LAZER - LEAN ON,20
NAYER,19,DJ SNAKE - LEAN ON,20
G-EAZY,19,DJ SNAKE - LET ME LOVE YOU,20
FARRUKO,18,MØ - LEAN ON,20
KEINEMUSIK (,18,KI - LOSING CONTROL,20
RAMPA,18,LOST FREQUENCIES - LOVE IS THE ONLY THING,20
ADAM PORT) ME,18,RONIS GOLIATH - ICE 2 WATER,20
SURF MESA,18,BEES WAKYIN - ICE 2 WATER,20
EMILEE,18,CYRIL - STUMBLIN' IN,20
CASPER,18,MR. PROBZ - WAVES (ROBIN SCHULZ REMIX),20
DISCIPLES,18,NICKY YOURE - SUNROOF,20
IKKIMEL,18,DAZY - SUNROOF,20
KIM PETRAS,18,APACHE 207 - MORGEN**,19
MORGAN WALLEN,18,AVA MAX - THE MOTTO,19
YOUNG THUG,18,SHABOOZEY - A BAR SONG (TIPSY),19
DJ MUGZEE,18,SEAN PAUL - GOT 2 LUV U,19
JOSEPH (CH),18,ROBIN SCHULZ - SUGAR,19
BRENT FAIYAZ FRIENDS,18,CRO - TRAUM,19
DIPLO,17,CRO - MELODIE,19
DELERIUM,17,TOPIC - YOUR LOVE (9PM),19
SARAH MCLACHLAN,17,A7S - YOUR LOVE (9PM),19
AVRIL LAVIGNE,17,HALSEY - CLOSER,19
THE UNDERDOG PROJECT,17,IMAGINE DRAGONS - WHATEVER IT TAKES,19
FOXES,17,JASON DERULO - TAKE YOU DANCING,19
YASHA,17,RIHANNA - S&M,19
MISS PLATNUM,17,RITA ORA - FOR YOU,19
KLINGANDE,17,TIËSTO - THE MOTTO,19
SANDRO CAVAZZA,17,PANIC! AT THE DISCO - HIGH HOPES,19
SWAE LEE,17,PITBULL - GIVE ME EVERYTHING,19
CMAT,17,BEYONCÉ - TEXAS HOLD 'EM,19
STARDUST,17,KATY PERRY - DARK HORSE,19
WALK THE MOON,16,THE CHAINSMOKERS - CLOSER,19
AXWELL,16,ARIANA GRANDE - NO TEARS LEFT TO CRY,19
\ INGROSSO,16,VIZE - NEVER LET ME DOWN,19
YOUNOTUS,16,TOM GREGORY - NEVER LET ME DOWN,19
ROYEL OTIS,16,ALEXIS JORDAN - GOT 2 LUV U,19
JOHN SUMMIT,16,TWENTY ONE PILOTS - HEATHENS,19
TREAM,16,CONFIDENCE MAN - GOSSIP,19
MORGAN SEATREE,16,JADE - GOSSIP,19
WILL SMITH,16,LIAM PAYNE - FOR YOU,19
WANKELMUT,16,ATB - YOUR LOVE (9PM),19
EMMA LOUISE,16,JUICY J - DARK HORSE,19
PAUL KALKBRENNER,16,FRANCESCO YATES - SUGAR,19
THE LAST DINNER PARTY,16,AFROJACK NE-YO - GIVE ME EVERYTHING,19
CAMELPHAT,16,NAYER - GIVE ME EVERYTHING,19
STEFFLON DON,16,"BEBE REXHA - ME, MYSELF AND I",19
NICKY MINAJ,16,"G-EAZY - ME, MYSELF AND I",19
WILL.I.AM,15,TAYLOR SWIFT - BLANK SPACE (TAYLOR'S VERSION),18
SANTE SANSONE GOTYE,15,SIA - GIMME LOVE,18
ÖWNBOSS,15,CALVIN HARRIS - HOW DEEP IS YOUR LOVE,18
SEVEK,15,TAIO CRUZ - DYNAMITE,18
CHICANE,15,DUA LIPA - DON'T START NOW,18
SAMPAGNE,15,YEARS - SUNLIGHT,18
KINGS OF LEON,15,TOMMY RICHMAN - MILLION DOLLAR BABY,18
ALAN WALKER,15,KAMRAD - FRIENDS,18
STEVE EDWARDS,15,BUNT - BEST DAY OF MY LIFE (BUNT. VERSION),18
JENNIFER LOPEZ,15,TOM ODELL - BEST DAY OF MY LIFE (BUNT. VERSION),18
JAZEEK,15,DISCO LINES - NO BROKE BOYS*,18
SIGMA,15,TINASHE - NO BROKE BOYS*,18
PLAYBOI CARTI THE WEEKND,15,POST MALONE - I HAD SOME HELP,18
MADONNA,15,LIL NAS X - INDUSTRY BABY,18
SAM FENDER,15,JACK HARLOW - INDUSTRY BABY,18
TAME IMPALA,15,FARRUKO - PEPAS,18
DJ HEARTSTRING,15,TWOCOLORS - HEAVY METAL LOVE,18
OLIVER HELDENS,15, - JACKIE B,18
VULA,15,SAM SMITH - UNHOLY,18
MALUGI,15,SURF MESA - ILY (I LOVE YOU BABY),18
REEZY,14,EMILEE - ILY (I LOVE YOU BABY),18
NINA SKY,14,DISCIPLES - HOW DEEP IS YOUR LOVE,18
