Artist,Times Played,Artist - Song,Times Played
JACK GARRATT,7,BBY - BREATHE,4
LOUIS THE CHILD,7,PAUL KALKBRENNER - SKY AND SAND,4
BEYONCÉ,7,FRITZ KALKBRENNER - SKY AND SAND,4
DEINE COUSINE,7,WE ARE SCIENTISTS - SETTLED ACCOUNTS,4
THE NOTWIST,7,WOODKID - I LOVE YOU,4
EMPIRE OF THE SUN,7,SPORTS - THE LOOK,4
TASH SULTANA,7,JASCHA - HIER,4
OUSE,7,SURFACES - LIVE IT UP,4
PAULA CAROLINA,7,"THE CARDIGANS - I NEED SOME FINE WINE AND YOU, YOU NEED TO BE NICER",4
CSS,7,PIXEY - OXYGEN,4
MOLA,7,MODERAT - BAD KINGDOM,4
ST. VINCENT,7,COURTNEY BARNETT - NOBODY REALLY CARES IF YOU DON'T GO TO THE PARTY,4
WUNDERHORSE,7,COURTNEY BARNETT - DEAD FOX,4
JASSIN,7,IZZY BIZU - FLOWER POWER,4
MAECKES,7,TRETTMANN - HAUS AUS ZINK,4
YUNGBLUD,7,PIP BLOM - TIGER,4
BEN HOWARD,7,BEYONCÉ - CRAZY IN LOVE,4
OH WONDER,7,BLUMENGARTEN - TRÄUM VON DIR,4
SANTIGOLD,7,ROSALÍA - LLYLM,4
SYML,7,JAWNY - RUNNING,4
YELLOWSTRAPS,7,LA ROUX - BULLETPROOF,4
THE XX,7,LA ROUX - QUICKSAND,4
SIMPLE PLAN,7,WALLOWS - WISH ME LUCK,4
KYTES,7,BLOC PARTY - HELICOPTER,4
TAYLOR SWIFT,7,DOPE LEMON - ELECTRIC GREEN LAMBO,4
JUPITER FLYNN,7,TEMPLES - GAMMA RAYS,4
NELLY FURTADO,6,MGMT - KIDS,4
CHROMEO,6,FRAEN - EVERYTHING BUT,4
FRANK OCEAN,6,WIZKID - NO STRESS,4
SLØTFACE,6,SG LEWIS - INFATUATION,4
NEON TREES,6,GOLDFRAPP - OOH LA LA,4
SFR,6,"CASSIA - EVERYONE, OUTSIDE",4
SPRINTS,6,TOM MISCH - RED MOON,4
SOFT LAUNCH,6,ANT ANTIC - TIDES,4
LOW ISLAND,6,PROVINZ - DRAUSSEN IST KRIEG,4
JAMES BLAKE,6,FKA TWIGS - PERFECT STRANGER,4
JUSTIN TIMBERLAKE,6,TRÄNEN - ICH BIN NICHT BERÜHMT,4
DENDEMANN,6,LADYHAWKE - MY DELIRIUM,4
KAISER CHIEFS,6,WILL JOSEPH COOK - FEARLESS IS THE FLAME,4
MOGLI,6,CSS - HITS ME LIKE A ROCK,4
YETUNDEY,6,BOBBY GILLESPIE - HITS ME LIKE A ROCK,4
SPORTFREUNDE STILLER,6,DELPHIC - DOUBT,4
DRAKE,6,MURA MASA - DRUGS,4
DRAMAS,6,HAZLETT - THE FIRST TRAIN HOME,4
MANU CHAO,6,JOSEPH - NERVOUS SYSTEM,4
LLUCID,6,GOODBOYS - NUMB,4
IZZY BIZU,6,AVAION - NUMB,4
OUTKAST,6,KAVINSKY - NIGHTCALL,4
DIE ÄRZTE,6,MINE - DANKE GUT,4
SHOUT OUT LOUDS,6,MAULI - DANKE GUT,4
HONNE,6,CARIBOU - SUN,4
DOPE LEMON,6,YUNGBLUD - LOWLIFE,4
